<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	15061.15	15086.73	15014.14	15060.97	129680	0	1
2022.01.04	00:00:00	14875.68	14908.02	14871.91	14880.13	194602	0	3
2022.01.05	00:00:00	15005.5	15080.46	14975.11	15020.75	60372	0	3
2022.01.06	00:00:00	15228.46	15243.55	15088.75	15197.32	172364	0	4
2022.01.07	00:00:00	14878.1	14887.55	14805.53	14851.59	130876	0	2
2022.01.10	00:00:00	14643.79	14665.69	14575.28	14627.17	158533	0	2
2022.01.11	00:00:00	14641.99	14748.13	14627.41	14655.49	64482	0	4
2022.01.12	00:00:00	14618.3	14620.2	14595.01	14605.82	180363	0	4
2022.01.13	00:00:00	14618.06	14705.66	14561.18	14608.71	51712	0	1
2022.01.14	00:00:00	14472.12	14477.87	14441.81	14465.72	186021	0	3
2022.01.17	00:00:00	14643.31	14646.29	14520.73	14625.03	148671	0	4
2022.01.18	00:00:00	14777.46	14801.76	14733.31	14768.08	100623	0	3
2022.01.19	00:00:00	14796.64	14836.39	14779.57	14785.7	51065	0	3
2022.01.20	00:00:00	15002.61	15092.51	14984.29	14993.06	141643	0	1
2022.01.21	00:00:00	15088.58	15164.73	15061.83	15083.44	63115	0	1
2022.01.24	00:00:00	14908.04	14944.1	14872.74	14934.68	141321	0	1
2022.01.25	00:00:00	15008.17	15040.35	14979.52	15006.91	165971	0	1
2022.01.26	00:00:00	14832.9	14899.57	14823.37	14841.16	90094	0	4
2022.01.27	00:00:00	14985.23	15018.62	14902.23	15004.43	85808	0	3
2022.01.28	00:00:00	15026.67	15113.88	14980.95	15001.44	83292	0	4
2022.01.31	00:00:00	15000.08	15057.14	14955.49	14974.19	83725	0	2
2022.02.01	00:00:00	14878.47	15001.2	14809.67	14858.28	67086	0	4
2022.02.02	00:00:00	15087.74	15098.34	15055.33	15083.89	87455	0	1
2022.02.03	00:00:00	15082.31	15090.84	15020.93	15061.97	148897	0	4
2022.02.04	00:00:00	14990.93	15010.02	14985.04	14990.75	95377	0	1
2022.02.07	00:00:00	14936.54	14984.88	14796.25	14933.51	167137	0	1
2022.02.08	00:00:00	15018.78	15089.28	14961.19	15035.22	172893	0	1
2022.02.09	00:00:00	15113.34	15121.06	15021.85	15107.34	164142	0	4
