<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	09:30:00	16000.0	16005.2	15999.17	16002.79	1326	0	4
2024.01.02	09:31:00	16002.79	16009.36	15990.21	15994.68	2518	0	3
2024.01.02	09:32:00	15994.68	16005.54	15987.27	16001.08	879	0	4
2024.01.02	09:33:00	16001.08	16011.81	15999.61	16009.03	4728	0	4
2024.01.02	09:34:00	16009.03	16011.15	15988.23	15993.54	2430	0	1
2024.01.02	09:35:00	15993.54	15999.93	15978.33	15983.31	3863	0	2
2024.01.02	09:36:00	15983.31	15988.03	15978.24	15984.67	1420	0	2
2024.01.02	09:37:00	15984.67	15987.35	15977.87	15982.43	3013	0	1
2024.01.02	09:38:00	15982.43	15984.9	15978.72	15982.61	1010	0	1
2024.01.02	09:39:00	15982.61	15984.1	15975.43	15976.03	1378	0	4
2024.01.02	09:40:00	15976.03	15983.81	15968.45	15983.47	3578	0	1
2024.01.02	09:41:00	15983.47	15995.98	15980.88	15990.08	2010	0	2
2024.01.02	09:42:00	15990.08	16000.35	15983.07	15990.94	4921	0	2
2024.01.02	09:43:00	15990.94	16000.67	15985.26	16000.39	4984	0	3
2024.01.02	09:44:00	16000.39	16006.52	15996.61	16004.49	1092	0	3
2024.01.02	09:45:00	16004.49	16006.69	15992.37	15997.85	3465	0	1
2024.01.02	09:46:00	15997.85	16003.8	15993.04	16001.16	4022	0	2
2024.01.02	09:47:00	16001.16	16008.91	15993.43	15993.71	1743	0	2
2024.01.02	09:48:00	15993.71	16008.91	15993.58	16001.15	4286	0	1
2024.01.02	09:49:00	16001.15	16002.28	15999.86	16001.06	3820	0	4
2024.01.02	09:50:00	16001.06	16005.97	15996.64	15999.89	1960	0	3
2024.01.02	09:51:00	15999.89	16001.53	15994.13	15994.69	911	0	4
2024.01.02	09:52:00	15994.69	16007.5	15989.86	16004.91	2494	0	4
2024.01.02	09:53:00	16004.91	16008.91	15998.52	16003.98	2167	0	4
2024.01.02	09:54:00	16003.98	16004.13	15996.67	16000.83	2875	0	1
2024.01.02	09:55:00	16000.83	16011.24	15996.52	15998.3	1531	0	4
2024.01.02	09:56:00	15998.3	16004.21	15994.11	16002.93	1903	0	1
2024.01.02	09:57:00	16002.93	16006.58	16000.77	16006.21	4532	0	3
2024.01.02	09:58:00	16006.21	16015.39	16004.7	16009.88	4290	0	4
2024.01.02	09:59:00	16009.88	16019.83	15997.79	16013.69	3808	0	3
2024.01.02	10:00:00	16013.69	16033.8	16013.63	16031.39	2087	0	1
